ticker,empresa,sector,tipo,precio,precio_52w_max,precio_52w_min,dif_max_52w,dif_min_52w,volumen,market_cap,dividend_yield
RTX,Raytheon,Defense,CEDEAR,181.83,214.5,140.47,-15.230769230769226,29.444009397024296,6344729.0,244867448832.0,1.52
LMT,Lockheed Martin,Defense,CEDEAR,493.6,692.0,410.11,-28.67052023121387,20.357952744385656,1125122.0,113806204928.0,2.8
NOC,Northrop Grumman,Defense,CEDEAR,507.33,774.0,481.28,-34.45348837209302,5.412649601063824,917436.0,72057839616.0,1.85
DIS,Walt Disney,Media,CEDEAR,102.45,124.69,92.19,-17.83623385997273,11.129189716889032,15657364.0,177905598464.0,1.46
CMCSA,Comcast,Media,CEDEAR,22.32,34.358013,22.13,-35.03698831477827,0.8585630366019004,46026754.0,79732137984.0,5.91
PARA,Paramount,Media,CEDEAR,,,,,,,,
INTC,Intel,Technology,CEDEAR,140.94,141.45,18.97,-0.3605514316012637,642.9625724828677,122379465.0,708364402688.0,
AMD,Advanced Micro Devices,Technology,CEDEAR,551.63,562.99,132.93,-2.017797829446355,314.9778078688031,25248056.0,899488219136.0,
QCOM,Qualcomm,Technology,CEDEAR,221.9,259.92,121.99,-14.627577716220374,81.90015575047136,18031099.0,233882599424.0,1.66
AVGO,Broadcom,Technology,CEDEAR,392.13,495.0,258.77,-20.781818181818178,51.536113150674346,24324818.0,1865589981184.0,0.66
MU,Micron Technology,Technology,CEDEAR,1211.38,1213.56,103.38,-0.17963677115262477,1071.7740375314377,47957880.0,1366114435072.0,0.05
MRVL,Marvell Tech,Technology,CEDEAR,307.86,329.88,61.44,-6.675154601673327,401.07421875,46578775.0,269315915776.0,0.08
LRCX,Lam Research,Technology,CEDEAR,409.54,409.75,90.94,-0.05125076266014883,350.34088409940625,14091931.0,512158859264.0,0.25
ASML,ASML Holding,Technology,CEDEAR,1929.25,1959.04,683.48,-1.520642763802682,182.26868379469772,1779604.0,743566999552.0,0.46
SNDK,SanDisk,Technology,CEDEAR,2273.73,2354.39,40.1,-3.4259404771511903,5570.1496259351625,9879098.0,336716136448.0,
ORCL,Oracle,Technology,CEDEAR,175.07,345.72,134.57,-49.3607543676964,30.09586089024299,22837827.0,503509417984.0,1.14
SAP,SAP SE,Technology,CEDEAR,149.51,313.28,149.19,-52.27591930541369,0.2144915879080278,2735211.0,176262168576.0,1.96
CRM,Salesforce,Technology,CEDEAR,150.12,276.8,146.32,-45.76589595375723,2.597047566976496,20334223.0,122948272128.0,1.17
ADBE,Adobe,Technology,CEDEAR,194.9,392.58,190.12,-50.354067960670434,2.5142015569114218,7879662.0,77472751616.0,
NOW,ServiceNow,Technology,CEDEAR,93.01,211.478,81.24,-56.019065812992366,14.487936976858705,24819743.0,95921963008.0,
TEAM,Atlassian,Technology,CEDEAR,79.96,222.59,56.01,-64.07745181724248,42.76022138903765,5767846.0,20291276800.0,
SHOP,Shopify,E-commerce,CEDEAR,107.98,182.19,94.0,-40.732202645589766,14.872340425531917,8326201.0,140120752128.0,
SPY,SPDR S&P 500,ETF,CEDEAR,,760.4,603.41,,,45157614.0,,0.98
QQQ,Invesco QQQ,ETF,CEDEAR,,748.65,536.27,,,41264194.0,,0.38
IVV,iShares Core S&P 500,ETF,CEDEAR,,764.0,606.31,,,16404586.0,,1.06
