ticker,empresa,sector,tipo,revenue,net_income,operating_income,total_assets,total_liabilities,stockholders_equity,operating_cash_flow,capital_expenditure,depreciation,ebitda,fcf,shares_outstanding,diluted_shares
NOC,Northrop Grumman,Defense,CEDEAR,42367000576.0,,,,,,4665999872.0,,,,4665999872.0,142033476.0,142033476.0
DIS,Walt Disney,Media,CEDEAR,97263001600.0,,,,,,15792000000.0,,,,15792000000.0,1736511424.0,1736511424.0
CMCSA,Comcast,Media,CEDEAR,125277003776.0,,,,,,32240001024.0,,,,32240001024.0,3562784182.0,3562784182.0
PARA,Paramount,Media,CEDEAR,,,,,,,,,,,,,
INTC,Intel,Technology,CEDEAR,53762998272.0,,,,,,9980000256.0,,,,9980000256.0,5026000000.0,5026000000.0
AMD,Advanced Micro Devices,Technology,CEDEAR,37454000128.0,,,,,,9724999680.0,,,,9724999680.0,1630600639.0,1630600639.0
QCOM,Qualcomm,Technology,CEDEAR,44486000640.0,,,,,,14284999680.0,,,,14284999680.0,1054000000.0,1054000000.0
AVGO,Broadcom,Technology,CEDEAR,75464998912.0,,,,,,33621999616.0,,,,33621999616.0,4757580198.0,4757580198.0
MU,Micron Technology,Technology,CEDEAR,58119000064.0,,,,,,30652999680.0,,,,30652999680.0,1127734051.0,1127734051.0
MRVL,Marvell Tech,Technology,CEDEAR,8717100032.0,,,,,,2056400000.0,,,,2056400000.0,874800000.0,874800000.0
LRCX,Lam Research,Technology,CEDEAR,21681844224.0,,,,,,6954616832.0,,,,6954616832.0,1250571000.0,1250571000.0
ASML,ASML Holding,Technology,CEDEAR,33692700672.0,,,,,,10531500032.0,,,,10531500032.0,385417665.0,385417665.0
SNDK,SanDisk,Technology,CEDEAR,13184000000.0,,,,,,4639000064.0,,,,4639000064.0,148089758.0,148089758.0
ORCL,Oracle,Technology,CEDEAR,67356999680.0,,,,,,31977000960.0,,,,31977000960.0,2876046000.0,2876046000.0
SAP,SAP SE,Technology,CEDEAR,37341999104.0,,,,,,8888999936.0,,,,8888999936.0,1167559048.0,1167559048.0
CRM,Salesforce,Technology,CEDEAR,42829000704.0,,,,,,15221000192.0,,,,15221000192.0,819000000.0,819000000.0
ADBE,Adobe,Technology,CEDEAR,25198000128.0,,,,,,10481000448.0,,,,10481000448.0,397500000.0,397500000.0
NOW,ServiceNow,Technology,CEDEAR,13959999488.0,,,,,,5437000192.0,,,,5437000192.0,1031308000.0,1031308000.0
TEAM,Atlassian,Technology,CEDEAR,6190182912.0,,,,,,1249309056.0,,,,1249309056.0,159634245.0,159634245.0
SHOP,Shopify,E-commerce,CEDEAR,12366000128.0,,,,,,2147000064.0,,,,2147000064.0,1219581025.0,1219581025.0
SPY,SPDR S&P 500,ETF,CEDEAR,,,,783796404224.0,,,,,,,,917782016.0,917782016.0
QQQ,Invesco QQQ,ETF,CEDEAR,,,,493987528704.0,,,,,,,,393100000.0,393100000.0
IVV,iShares Core S&P 500,ETF,CEDEAR,,,,854916988928.0,,,,,,,,621550016.0,621550016.0
EEM,Mercados Emergentes,ETF,CEDEAR,,,,30325661696.0,,,,,,,,752400000.0,752400000.0
EFA,iShares EAFE,ETF,CEDEAR,,,,77424812032.0,,,,,,,,938400000.0,938400000.0
AGG,Bonos,ETF,CEDEAR,,,,136455700480.0,,,,,,,,572600000.0,572600000.0
GLD,Oro,ETF,CEDEAR,,,,150367518720.0,,,,,,,,260300000.0,260300000.0
SLV,Plata,ETF,CEDEAR,,,,36822409216.0,,,,,,,,341449984.0,341449984.0
COST,Costco,Retail,CEDEAR,293586993152.0,,,,,,15000000512.0,,,,15000000512.0,443478804.0,443478804.0
WMT,Walmart,Retail,CEDEAR,725304999936.0,,,,,,40891998208.0,,,,40891998208.0,7958079155.0,7958079155.0
TGT,Target,Retail,CEDEAR,106377003008.0,,,,,,7002999808.0,,,,7002999808.0,454191112.0,454191112.0
HD,Home Depot,Retail,CEDEAR,166592004096.0,,,,,,18032001024.0,,,,18032001024.0,997116682.0,997116682.0
LOW,Lowe's,Retail,CEDEAR,88433999872.0,,,,,,9834999808.0,,,,9834999808.0,560707041.0,560707041.0
AMZN,Amazon,E-commerce,CEDEAR,742775980032.0,,,,,,148531003392.0,,,,148531003392.0,10757109436.0,10757109436.0
AMZN,Amazon,E-commerce,CEDEAR,742775980032.0,,,,,,148531003392.0,,,,148531003392.0,10757109436.0,10757109436.0
EBAY,eBay,E-commerce,CEDEAR,11603999744.0,,,,,,2172999936.0,,,,2172999936.0,444000000.0,444000000.0
ETSY,Etsy,E-commerce,CEDEAR,2902574080.0,,,,,,724972992.0,,,,724972992.0,94896231.0,94896231.0
F,Ford,Automobiles,CEDEAR,189861003264.0,,,,,,18919000064.0,,,,18919000064.0,3913840554.0,3913840554.0
GM,General Motors,Automobiles,CEDEAR,184623005696.0,,,,,,23755999232.0,,,,23755999232.0,901665195.0,901665195.0
TM,Toyota,Automobiles,CEDEAR,50684951003136.0,,,,,,5472919748608.0,,,,5472919748608.0,1184105248.0,1184105248.0
HMC,Honda,Automobiles,CEDEAR,21796610899968.0,,,,,,1135260991488.0,,,,1135260991488.0,1297526814.0,1297526814.0
UBER,Uber,Transportation,CEDEAR,53687001088.0,,,,,,10126000128.0,,,,10126000128.0,2035599013.0,2035599013.0
LYFT,Lyft,Transportation,CEDEAR,6516577792.0,,,,,,1188882944.0,,,,1188882944.0,379682532.0,379682532.0
CCL,Carnival,Travel,CEDEAR,26976999424.0,,,,,,6556000256.0,,,,6556000256.0,1239000212.0,1239000212.0
RCL,Royal Caribbean,Travel,CEDEAR,18388000768.0,,,,,,6672000000.0,,,,6672000000.0,268194978.0,268194978.0
LVS,Las Vegas Sands,Travel,CEDEAR,13740000256.0,,,,,,3228000000.0,,,,3228000000.0,662637325.0,662637325.0
