ticker,empresa,sector,tipo,precio,market_cap,precio_52w_max,precio_52w_min,pe,p_book,deuda_equity,deuda_ebitda,margen_neto,roe,op_margin,ebitda_margin,fcf,fcf_yield,payout_ratio,current_ratio,eps_cagr_5y,revenue,net_income,ebitda,equity,liabilities
PSX,Phillips 66,Energy,CEDEAR,168.41,67521466368.0,190.61,118.0,,,,,,,,,2511000064.0,0.03718817435502292,3.02,,,134485999616.0,,,,
PM,Philip Morris,Consumer,CEDEAR,173.17,269895630848.0,193.05,142.11,,,,,,,,,12184000512.0,0.04514337810404124,3.4,,,41493000192.0,,,,
MO,Altria Group,Consumer,CEDEAR,69.51,116074143744.0,74.56,54.7,,,,,,,,,8894000128.0,0.07662343947688816,6.1,,,20377999360.0,,,,
PG,Procter & Gamble,Consumer,CEDEAR,147.68,343887478784.0,167.25,137.62,,,,,,,,,19409999872.0,0.05644288050450264,2.88,,,86716997632.0,,,,
KO,Coca-Cola,Consumer,CEDEAR,79.53,342176432128.0,84.04,65.35,,,,,,,,,14631000064.0,0.04275864346649945,2.67,,,49284001792.0,,,,
PEP,PepsiCo,Consumer,CEDEAR,140.71,192342261760.0,171.48,127.6,,,,,,,,,13100999680.0,0.06811295427287378,4.21,,,95448997888.0,,,,
MCD,McDonald's,Consumer,CEDEAR,270.1,191907643392.0,341.75,270.08,,,,,,,,,10535000064.0,0.05489619838893384,2.75,,,27445999616.0,,,,
SBUX,Starbucks,Consumer,CEDEAR,100.15,114140954624.0,108.88,77.99,,,,,,,,,4345699840.0,0.038073098777870615,2.48,,,38471598080.0,,,,
BA,Boeing,Industrials,CEDEAR,220.83,174080802816.0,254.35,176.77,,,,,,,,,2502000128.0,0.014372636657958002,,,,92184002560.0,,,,
CAT,Caterpillar,Industrials,CEDEAR,1022.28,470853976064.0,1023.29,367.92,,,,,,,,,12320000000.0,0.026165224520320128,0.64,,,70755000320.0,,,,
DE,Deere & Co.,Industrials,CEDEAR,598.59,161581858816.0,674.19,433.0,,,,,,,,,7933000192.0,0.049095859214205714,1.08,,,47337000960.0,,,,
GE,General Electric,Industrials,CEDEAR,355.12,371039895552.0,364.7,243.34,,,,,,,,,8851000320.0,0.023854578513268155,0.53,,,48312999936.0,,,,
MMM,3M Company,Industrials,CEDEAR,163.22,85130207232.0,177.41,139.34,,,,,,,,,2959000064.0,0.034758520626362664,1.91,,,25024000000.0,,,,
HON,Honeywell,Industrials,CEDEAR,228.11,144542613504.0,248.18,186.76,,,,,,,,,5160999936.0,0.03570573280008651,2.09,,,37660000256.0,,,,
RTX,Raytheon,Defense,CEDEAR,181.83,244867448832.0,214.5,140.47,,,,,,,,,11116999680.0,0.04540007147959961,1.52,,,90372997120.0,,,,
LMT,Lockheed Martin,Defense,CEDEAR,493.6,113806204928.0,692.0,410.11,,,,,,,,,7368000000.0,0.06474163693149594,2.8,,,75106000896.0,,,,
NOC,Northrop Grumman,Defense,CEDEAR,507.33,72057839616.0,774.0,481.28,,,,,,,,,4665999872.0,0.06475353544965208,1.85,,,42367000576.0,,,,
DIS,Walt Disney,Media,CEDEAR,102.45,177905598464.0,124.69,92.19,,,,,,,,,15792000000.0,0.08876617788504043,1.46,,,97263001600.0,,,,
CMCSA,Comcast,Media,CEDEAR,22.32,79732137984.0,34.358013,22.13,,,,,,,,,32240001024.0,0.40435390093853574,5.91,,,125277003776.0,,,,
PARA,Paramount,Media,CEDEAR,,,,,,,,,,,,,,,,,,,,,,
INTC,Intel,Technology,CEDEAR,140.94,708364402688.0,141.45,18.97,,,,,,,,,9980000256.0,0.014088794154716585,,,,53762998272.0,,,,
AMD,Advanced Micro Devices,Technology,CEDEAR,551.63,899488219136.0,562.99,132.93,,,,,,,,,9724999680.0,0.010811703225353315,,,,37454000128.0,,,,
QCOM,Qualcomm,Technology,CEDEAR,221.9,233882599424.0,259.92,121.99,,,,,,,,,14284999680.0,0.06107765056135312,1.66,,,44486000640.0,,,,
AVGO,Broadcom,Technology,CEDEAR,392.13,1865589981184.0,495.0,258.77,,,,,,,,,33621999616.0,0.018022180626560688,0.66,,,75464998912.0,,,,
MU,Micron Technology,Technology,CEDEAR,1211.38,1366114435072.0,1213.56,103.38,,,,,,,,,30652999680.0,0.022438090758029695,0.05,,,58119000064.0,,,,
MRVL,Marvell Tech,Technology,CEDEAR,307.86,269315915776.0,329.88,61.44,,,,,,,,,2056400000.0,0.007635642305337735,0.08,,,8717100032.0,,,,
LRCX,Lam Research,Technology,CEDEAR,409.54,512158859264.0,409.75,90.94,,,,,,,,,6954616832.0,0.013579022809434871,0.25,,,21681844224.0,,,,
ASML,ASML Holding,Technology,CEDEAR,1929.25,743566999552.0,1959.04,683.48,,,,,,,,,10531500032.0,0.014163484982987735,0.46,,,33692700672.0,,,,
SNDK,SanDisk,Technology,CEDEAR,2273.73,336716136448.0,2354.39,40.1,,,,,,,,,4639000064.0,0.01377718369228323,,,,13184000000.0,,,,
ORCL,Oracle,Technology,CEDEAR,175.07,503509417984.0,345.72,134.57,,,,,,,,,31977000960.0,0.06350824794505856,1.14,,,67356999680.0,,,,
SAP,SAP SE,Technology,CEDEAR,149.51,176262168576.0,313.28,149.19,,,,,,,,,8888999936.0,0.050430560385209815,1.96,,,37341999104.0,,,,
CRM,Salesforce,Technology,CEDEAR,150.12,122948272128.0,276.8,146.32,,,,,,,,,15221000192.0,0.12380003336812734,1.17,,,42829000704.0,,,,
ADBE,Adobe,Technology,CEDEAR,194.9,77472751616.0,392.58,190.12,,,,,,,,,10481000448.0,0.13528628103917015,,,,25198000128.0,,,,
NOW,ServiceNow,Technology,CEDEAR,93.01,95921963008.0,211.478,81.24,,,,,,,,,5437000192.0,0.05668149422199114,,,,13959999488.0,,,,
TEAM,Atlassian,Technology,CEDEAR,79.96,20291276800.0,222.59,56.01,,,,,,,,,1249309056.0,0.06156877501173312,,,,6190182912.0,,,,
SHOP,Shopify,E-commerce,CEDEAR,107.98,140120752128.0,182.19,94.0,,,,,,,,,2147000064.0,0.015322498854692987,,,,12366000128.0,,,,
SPY,SPDR S&P 500,ETF,CEDEAR,,,760.4,603.41,,,,,,,,,,,0.98,,,,,,,
QQQ,Invesco QQQ,ETF,CEDEAR,,,748.65,536.27,,,,,,,,,,,0.38,,,,,,,
IVV,iShares Core S&P 500,ETF,CEDEAR,,,764.0,606.31,,,,,,,,,,,1.06,,,,,,,
EEM,Mercados Emergentes,ETF,CEDEAR,,,71.57,47.41,,,,,,,,,,,1.77,,,,,,,
EFA,iShares EAFE,ETF,CEDEAR,,,105.94,86.74,,,,,,,,,,,3.1,,,,,,,
AGG,Bonos,ETF,CEDEAR,,,101.46,97.52,,,,,,,,,,,3.96,,,,,,,
GLD,Oro,ETF,CEDEAR,,,509.7,299.89,,,,,,,,,,,0.0,,,,,,,
SLV,Plata,ETF,CEDEAR,,,109.83,32.06,,,,,,,,,,,0.0,,,,,,,
COST,Costco,Retail,CEDEAR,951.35,421903564800.0,1096.5,844.06,,,,,,,,,15000000512.0,0.03555314949545551,0.62,,,293586993152.0,,,,
WMT,Walmart,Retail,CEDEAR,117.18,932527669248.0,135.16,94.23,,,,,,,,,40891998208.0,0.04385070765886843,0.84,,,725304999936.0,,,,
TGT,Target,Retail,CEDEAR,129.73,58922209280.0,137.87,83.44,,,,,,,,,7002999808.0,0.11885161628481287,3.58,,,106377003008.0,,,,
HD,Home Depot,Retail,CEDEAR,326.62,325678235648.0,426.75,289.1,,,,,,,,,18032001024.0,0.05536753473293,2.85,,,166592004096.0,,,,
LOW,Lowe's,Retail,CEDEAR,214.4,120215592960.0,293.06,203.4,,,,,,,,,9834999808.0,0.08181134880957126,2.33,,,88433999872.0,,,,
AMZN,Amazon,E-commerce,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon,E-commerce,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon,E-commerce,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon,E-commerce,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon,E-commerce,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon,E-commerce,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon,E-commerce,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
AMZN,Amazon,E-commerce,CEDEAR,232.79,2504147599360.0,278.56,196.0,,,,,,,,,148531003392.0,0.059313997078271646,,,,742775980032.0,,,,
EBAY,eBay,E-commerce,CEDEAR,104.94,46593359872.0,119.31,72.84,,,,,,,,,2172999936.0,0.046637545392081745,1.18,,,11603999744.0,,,,
ETSY,Etsy,E-commerce,CEDEAR,72.54,6883772928.0,76.515,44.0,,,,,,,,,724972992.0,0.1053162269561719,,,,2902574080.0,,,,
F,Ford,Automobiles,CEDEAR,14.11,56224014336.0,17.78,10.42,,,,,,,,,18919000064.0,0.33649322780366187,4.25,,,189861003264.0,,,,
GM,General Motors,Automobiles,CEDEAR,80.43,72520933376.0,87.62,47.72,,,,,,,,,23755999232.0,0.3275743723378743,0.9,,,184623005696.0,,,,
TM,Toyota,Automobiles,CEDEAR,169.73,200978169856.0,248.9,167.18,,,,,,,,,5472919748608.0,27.231414001477493,3.69,,,50684951003136.0,,,,
HMC,Honda,Automobiles,CEDEAR,25.99,33722720256.0,34.89,23.25,,,,,,,,,1135260991488.0,33.664573405403516,5.12,,,21796610899968.0,,,,
UBER,Uber,Transportation,CEDEAR,71.43,145402839040.0,101.99,67.19,,,,,,,,,10126000128.0,0.06964100697658565,,,,53687001088.0,,,,
LYFT,Lyft,Transportation,CEDEAR,14.22,5399085568.0,25.54,12.46,,,,,,,,,1188882944.0,0.22020079678796453,,,,6516577792.0,,,,
CCL,Carnival,Travel,CEDEAR,30.19,41817366528.0,34.03,23.45,,,,,,,,,6556000256.0,0.15677697570004187,0.99,,,26976999424.0,,,,
RCL,Royal Caribbean,Travel,CEDEAR,309.36,82968797184.0,366.5,232.1,,,,,,,,,6672000000.0,0.0804157734769072,1.62,,,18388000768.0,,,,
LVS,Las Vegas Sands,Travel,CEDEAR,47.8,31674062848.0,70.45,42.06,,,,,,,,,3228000000.0,0.10191303892685892,2.3,,,13740000256.0,,,,
WYNN,Wynn Resorts,Travel,CEDEAR,103.62,10754380800.0,134.72,89.85,,,,,,,,,1372333952.0,0.12760697036132476,0.97,,,7294288896.0,,,,
MGM,MGM Resorts,Travel,CEDEAR,46.57,11914991616.0,51.59,29.19,,,,,,,,,2550087936.0,0.2140234771609595,,,,17715318784.0,,,,
PENN,Penn Entertainment,Travel,CEDEAR,20.83,2787957248.0,22.36,11.65,,,,,,,,,588700032.0,0.2111581992235772,,,,7067599872.0,,,,
DRI,Dine Global,Food,CEDEAR,212.0,24281419776.0,224.94,169.0,,,,,,,,,1735000064.0,0.0714538144806051,2.83,,,12763799552.0,,,,
CAKE,The Cheesecake Factory,Food,CEDEAR,76.91,3821301504.0,78.87,43.07,,,,,,,,,319086016.0,0.08350192092039645,1.56,,,3803441920.0,,,,
CMG,Chipotle,Food,CEDEAR,30.54,39174696960.0,58.42,28.04,,,,,,,,,2208200960.0,0.05636804190865143,,,,12138590208.0,,,,
